day,score
2018-04-02,0.0
2018-04-03,4698.0
2018-04-04,-9567.0
2018-04-05,0.0
2018-04-06,0.0
2018-04-07,0.0
2018-04-08,-3838.0
2018-04-09,-1579.0
2018-04-10,-11686.0
2018-04-11,496.0
2018-04-12,-1770.0
2018-04-13,-323.0
2018-04-14,2062.0
2018-04-15,0.0
2018-04-16,-5390.0
2018-04-17,-10888.0
2018-04-18,-18735.0
2018-04-19,1993.0
2018-04-20,-1784.0
2018-04-21,0.0
2018-04-22,-6752.0
2018-04-23,-13042.0
2018-04-24,-3370.0
2018-04-25,1519.0
2018-04-26,-13630.0
2018-04-27,-1750.0
2018-04-28,0.0
2018-04-29,0.0
2018-05-02,0.0
2018-05-03,-1742.0
2018-05-04,2125.0
2018-05-05,2976.0
2018-05-07,-10420.0
2018-05-08,-8514.0
2018-05-09,3453.0
2018-05-10,2298.0
2018-05-11,2062.0
2018-05-12,-4662.0
2018-05-13,0.0
2018-05-14,-2750.0
2018-05-15,3209.0
2018-05-16,-3156.0
2018-05-17,0.0
2018-05-18,-2870.0
2018-05-19,-5826.0
2018-05-20,0.0
2018-05-21,-8370.0
2018-05-22,5675.0
2018-05-23,-13217.0
2018-05-24,-16998.0
2018-05-25,-1072.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,-3224.0
2018-05-30,-2880.0
2018-05-31,-4252.0
2018-06-01,2484.0
2018-06-02,0.0
2018-06-03,-8262.0
2018-06-04,-7960.0
2018-06-05,-8916.0
2018-06-06,-8398.0
2018-06-07,-8524.0
2018-06-08,-9973.0
2018-06-09,-10907.0
2018-06-10,-8882.0
2018-06-11,-737.0
2018-06-12,4082.0
2018-06-13,-613.0
2018-06-14,1057.0
2018-06-15,-10065.0
2018-06-16,0.0
2018-06-17,-11335.0
2018-06-18,-5880.0
2018-06-19,-11292.0
2018-06-20,-5259.0
2018-06-21,-9695.0
2018-06-22,5847.0
2018-06-23,1942.0
2018-06-24,-3082.0
2018-06-25,-182.0
2018-06-26,-9394.0
2018-06-27,-2445.0
2018-06-28,0.0
2018-06-29,-5403.0
2018-06-30,-3932.0
2018-07-01,1229.0
2018-07-02,-9367.0
2018-07-03,-6071.0
2018-07-04,0.0
2018-07-05,-7776.0
2018-07-06,-13301.0
2018-07-07,-3562.0
2018-07-08,0.0
2018-07-09,3510.0
2018-07-10,5855.0
2018-07-11,-15787.0
2018-07-12,-2676.0
2018-07-13,-29418.0
2018-07-14,3069.0
2018-07-15,-1995.0
2018-07-16,3939.0
2018-07-17,0.0
2018-07-18,-18080.0
2018-07-19,0.0
2018-07-20,0.0
2018-07-21,0.0
2018-07-23,-9306.0
2018-07-24,3489.0
2018-07-25,3822.0
2018-07-26,4085.0
2018-07-27,8031.0
2018-07-28,-8016.0
2018-07-30,0.0
2018-07-31,-3680.0
2018-08-01,3434.0
2018-08-02,-32044.0
2018-08-03,-2855.0
2018-08-04,4263.0
2018-08-06,0.0
2018-08-07,-5698.0
2018-08-08,0.0
2018-08-09,-6816.0
2018-08-10,-471.0
2018-08-11,3510.0
2018-08-12,0.0
2018-08-13,0.0
2018-08-14,-4062.0
2018-08-15,0.0
2018-08-16,0.0
2018-08-17,-186.0
2018-08-18,0.0
2018-08-19,0.0
2018-08-20,0.0
